title: test  nSrf: 21795  downL: 300.000                    
376 298.086 0.60 0.10 1.50 298.150
377 298.356 0.60 0.10 1.50 298.150
378 298.197 0.60 0.10 1.50 298.150
379 298.145 0.60 0.10 1.50 298.150
380 298.146 0.60 0.10 1.50 298.150
381 298.146 0.60 0.10 1.50 298.150
382 297.971 0.60 0.10 1.50 298.150
383 296.804 0.60 0.10 1.50 298.150
384 298.166 0.60 0.10 1.50 298.150
385 298.212 0.60 0.10 1.50 298.150
386 293.465 0.97 0.10 1.50 298.150
387 298.178 0.60 0.10 1.50 298.150
388 294.515 0.60 0.10 1.50 298.150
389 294.878 0.60 0.10 1.50 298.150
390 298.044 0.60 0.10 1.50 298.150
391 298.050 0.60 0.10 1.50 298.150
392 295.520 0.60 0.10 1.50 298.150
393 291.694 0.88 0.10 1.50 298.150
394 293.669 0.94 0.10 1.50 298.150
395 298.110 0.60 0.10 1.50 298.150
396 295.665 0.60 0.10 1.50 298.150
397 293.878 0.81 0.10 1.50 298.150
398 295.366 0.60 0.10 1.50 298.150
399 296.478 0.60 0.10 1.50 298.150
400 298.067 0.60 0.10 1.50 298.150
401 295.587 0.60 0.10 1.50 298.150
402 295.407 0.60 0.10 1.50 298.150
403 293.932 0.60 0.10 1.50 298.150
404 296.261 0.60 0.10 1.50 298.150
405 295.711 0.60 0.10 1.50 298.150
406 298.114 0.60 0.10 1.50 298.150
407 296.933 0.60 0.10 1.50 298.150
408 293.906 0.80 0.10 1.50 298.150
409 291.911 0.84 0.10 1.50 298.150
410 294.533 0.60 0.10 1.50 298.150
411 298.113 0.60 0.10 1.50 298.150
412 298.112 0.60 0.10 1.50 298.150
413 293.892 0.60 0.10 1.50 298.150
414 294.651 0.60 0.10 1.50 298.150
415 295.906 0.60 0.10 1.50 298.150
416 293.889 0.92 0.10 1.50 298.150
417 297.349 0.60 0.10 1.50 298.150
418 297.146 0.60 0.10 1.50 298.150
419 293.978 0.60 0.10 1.50 298.150
420 293.421 0.81 0.10 1.50 298.150
421 293.854 0.60 0.10 1.50 298.150
422 295.283 0.60 0.10 1.50 298.150
423 294.528 0.60 0.10 1.50 298.150
424 295.558 0.60 0.10 1.50 298.150
425 297.920 0.60 0.10 1.50 298.150
426 292.812 0.81 0.10 1.50 298.150
427 292.812 0.97 0.10 1.50 298.150
428 294.906 0.60 0.10 1.50 298.150
429 295.373 0.60 0.10 1.50 298.150
430 293.507 0.60 0.10 1.50 298.150
431 294.492 0.60 0.10 1.50 298.150
432 293.724 0.60 0.10 1.50 298.150
433 292.386 0.87 0.10 1.50 298.150
434 295.933 0.60 0.10 1.50 298.150
435 295.917 0.60 0.10 1.50 298.150
436 296.670 0.60 0.10 1.50 298.150
437 298.105 0.60 0.10 1.50 298.150
438 298.145 0.60 0.10 1.50 298.150
439 294.038 0.60 0.10 1.50 298.150
440 298.205 0.60 0.10 1.50 298.150
441 298.153 0.60 0.10 1.50 298.150
442 295.639 0.60 0.10 1.50 298.150
443 294.353 0.82 0.10 1.50 298.150
444 295.746 0.60 0.10 1.50 298.150
445 296.519 0.60 0.10 1.50 298.150
446 296.276 0.60 0.10 1.50 298.150
447 297.342 0.60 0.10 1.50 298.150
448 297.316 0.60 0.10 1.50 298.150
449 297.309 0.60 0.10 1.50 298.150
450 297.549 0.60 0.10 1.50 298.150
451 296.716 0.60 0.10 1.50 298.150
452 294.788 0.60 0.10 1.50 298.150
453 295.746 0.60 0.10 1.50 298.150
454 296.733 0.60 0.10 1.50 298.150
455 292.543 0.93 0.10 1.50 298.150
456 295.013 0.60 0.10 1.50 298.150
457 292.879 0.95 0.10 1.50 298.150
458 292.653 0.93 0.10 1.50 298.150
459 295.710 0.60 0.10 1.50 298.150
460 296.553 0.60 0.10 1.50 298.150
461 296.678 0.60 0.10 1.50 298.150
462 295.674 0.60 0.10 1.50 298.150
463 295.749 0.60 0.10 1.50 298.150
464 295.695 0.60 0.10 1.50 298.150
465 295.446 0.60 0.10 1.50 298.150
466 293.640 0.60 0.10 1.50 298.150
467 295.491 0.60 0.10 1.50 298.150
468 295.529 0.60 0.10 1.50 298.150
469 293.164 0.94 0.10 1.50 298.150
470 296.731 0.60 0.10 1.50 298.150
471 295.341 0.60 0.10 1.50 298.150
472 295.188 0.60 0.10 1.50 298.150
473 297.770 0.60 0.10 1.50 298.150
474 297.480 0.60 0.10 1.50 298.150
475 296.807 0.60 0.10 1.50 298.150
476 295.872 0.60 0.10 1.50 298.150
477 296.406 0.60 0.10 1.50 298.150
478 297.662 0.60 0.10 1.50 298.150
479 297.882 0.60 0.10 1.50 298.150
480 298.054 0.60 0.10 1.50 298.150
481 292.432 0.91 0.10 1.50 298.150
482 297.565 0.60 0.10 1.50 298.150
483 297.412 0.60 0.10 1.50 298.150
484 297.465 0.60 0.10 1.50 298.150
485 295.261 0.60 0.10 1.50 298.150
486 295.322 0.60 0.10 1.50 298.150
487 293.560 0.82 0.10 1.50 298.150
488 293.934 0.82 0.10 1.50 298.150
489 295.666 0.60 0.10 1.50 298.150
490 296.253 0.60 0.10 1.50 298.150
491 296.303 0.60 0.10 1.50 298.150
492 295.841 0.60 0.10 1.50 298.150
493 296.641 0.60 0.10 1.50 298.150
494 297.907 0.97 0.10 1.50 298.150
495 298.110 0.60 0.10 1.50 298.150
496 297.960 0.97 0.10 1.50 298.150
497 298.049 0.60 0.10 1.50 298.150
498 298.029 0.60 0.10 1.50 298.150
499 298.051 0.60 0.10 1.50 298.150
500 298.129 0.60 0.10 1.50 298.150
501 294.272 0.60 0.10 1.50 298.150
502 295.989 0.60 0.10 1.50 298.150
503 296.264 0.60 0.10 1.50 298.150
504 297.282 0.60 0.10 1.50 298.150
505 295.061 0.60 0.10 1.50 298.150
506 294.656 0.60 0.10 1.50 298.150
507 297.290 0.60 0.10 1.50 298.150
508 296.314 0.60 0.10 1.50 298.150
509 294.692 0.60 0.10 1.50 298.150
510 295.769 0.60 0.10 1.50 298.150
511 297.050 0.60 0.10 1.50 298.150
512 295.322 0.97 0.10 1.50 298.150
513 298.134 0.60 0.10 1.50 298.150
514 295.383 0.60 0.10 1.50 298.150
515 295.957 0.60 0.10 1.50 298.150
516 296.834 0.60 0.10 1.50 298.150
517 297.310 0.60 0.10 1.50 298.150
518 293.399 0.60 0.10 1.50 298.150
519 295.415 0.60 0.10 1.50 298.150
520 295.366 0.60 0.10 1.50 298.150
